ASTATE,DISTRICT,TEHSIL,VILLAGE,TOTAL_OF_ROR,TOTAL_OF_LAND_OWNER,ROR_DATA_ENTRY_AS_OF_P_S,AVAILABILITY_OF_ROR_DISTRIBUTION_P_S,ROR_LINKAGE_WITH_AA_COMPLETED,ROR_LINKAGE_WITH_AA_ONGOING,OF_LAND_OWNER_HOLDERS_WHOSE_ROR_L_W_A,WHETHER_MUTATION_NOTICE_AND_MUTATION_WORKFLOW_A_C,ISSUANCE_OF_DIGITALLY_SIGNED_ROR,ICT_CHANNEL_OF_DISTRIBUTION_OF_ROR,STATUS_ENTRY_DATE,STATE_CODE,DISTRICT_CODE,TEHSIL_CODE,URL_DISTRICT,URL_TEHSIL
UTTAR PRADESH,Agra,Agra,Barauli Ahir,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Barauli Gujar,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Basai Ehtmali,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Basai Mustkil,2,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Bhahai,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Bhandai,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Bhogipura,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Bichpuri,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Bijhamai,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Bilahani,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Bisarna,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Bishara Kalan,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Bishari Bhand,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Bodla,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Brahmnagar,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Budhana Ehtmali,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Budhana Mustkil,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Budhera,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Chak Abbal,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Chak Chahram,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Chak Doyam,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Chak Ehtmali,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Chak Hufftam,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Chak Pancham,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Chak Shisam,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Chak Soyam,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Chamrauli,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Chaugan Kheriya,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Chauhatna,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Chawali,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Dehtora,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Deoretha,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Deori,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Dhadupura,2,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Dhamota,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Dhanauli,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Digner,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Etmadpur Madra,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Gamari,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Gangraua,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Garhsani,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Gelana Ehtmali,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Gelana Mustkil,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Ghatwasan Ehtmali,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Ghatwasan Mustkil,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Gopal Pura,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Gutla,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Hingot Kheria,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Ikthara,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Islampur,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Itaura,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Jaganpur Ehtmali,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Jaganpur Mustkil,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Jakhoda,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Janara,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Jarua Katra,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Jaupura,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Jogipura,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
